"Group","Variable","Units","Description"
"Lights", "LIGHT LANDING", "bool", "Light switch state for landing light."
"Lights", "LIGHT LOGO", "bool", "Light switch state for logo light."
"Lights", "LIGHT LOGO ON", "bool", "Returns true if the target logo light is functioning or if the switch is ON. Use the logo lightdef index."
"Lights", "LIGHT NAV ON", "bool", "Returns true if the target navigation light is functioning or if the switch is ON. Use navigation lightdef index."
"Lights", "LIGHT NAV", "bool", "Light switch state for the NAV light"
"Lights", "LIGHT ON STATES", "mask", "Bit mask:[index] 0x0001:[index] Nav 0x0002:[index] Beacon 0x0004:[index] Landing 0x0008:[index] Taxi 0x0010:[index] Strobe 0x0020:[index] Panel 0x0040:[index] Recognition 0x0080:[index] Wing 0x0100:[index] Logo 0x0200:[index] Cabin"
"Lights", "LIGHT PANEL", "bool", "Light switch state of the panel light."
"Lights", "LIGHT PANEL ON", "bool", "Returns true if the target panel light is functioning or if the switch is ON. Use the panel lightdef index."
"Lights", "LIGHT PANEL POWER SETTING", "percent", "The current panel light power setting. Requires the panel lightdef index."
"Lights", "LIGHT PEDESTRAL", "bool", "Whether or not the Light switch for the Pedestal is enabled"
"Lights", "LIGHT PEDESTRAL ON", "bool", "Returns true if the target pedestral light is functioning or if the switch is ON. Requires the pedestral lightdef index."
"Lights", "LIGHT PEDESTRAL POWER SETTING", "percent", "The current pedestral light power setting. Requires the pedestral lightdef index."
"Lights", "LIGHT POTENTIOMETER:1", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:2", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:3", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:4", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:5", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:6", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:7", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:8", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:9", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:10", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:11", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:12", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT POTENTIOMETER:13", "percent over 100", "Adjust the potentiometer of the indexed lighting. Index is defined in the appropriate lightdef hashmap setting."
"Lights", "LIGHT RECOGNITION", "bool", "Light switch state for the recognition light."
"Lights", "LIGHT RECOGNITION ON", "bool", "Returns true if the target recognition light is functioning or if the switch is ON. Use the recognition lightdef index."
"Lights", "LIGHT STATES", "mask", "Same as LIGHT ON STATES"
"Lights", "LIGHT STROBE", "bool", "Light switch state"
"Lights", "LIGHT STROBE ON", "bool", "Returns true if the target strobe light is functioning or if the switch is ON. Use the strobe lightdef index."
"Lights", "LIGHT TAXI", "bool", "Light switch state for the taxi light."
"Lights", "LIGHT TAXI ON", "bool", "Returns true if the target taxi light is functioning or if the switch is ON. Use taxi lightdef index."
"Lights", "LIGHT WING", "bool", "Light switch state for the wing lights."
"Lights", "LIGHT WING ON", "bool", "Returns true if the target wing light is functioning or if the switch is ON. Use the wing lightdef index."
"Lights", "MANUAL INSTRUMENT LIGHTS", "bool", "True if instrument lights are set manually."
"Lights", "STROBES AVAILABLE", "bool", "True if strobe lights are available."
"Lights", "STROBE FLASH", "bool", "Deprecated, do not use!"
"Hydraulics", "HYDRAULIC PRESSURE", "pound force per square foot", "Hydraulic system pressure. Indexes start at 1."
"Hydraulics", "HYDRAULIC RESERVOIR PERCENT", "percent over 100", "Hydraulic pressure changes will follow changes to this variable. Indexes start at 1."
"Hydraulics", "HYDRAULIC SWITCH", "bool", "True if hydraulic switch is on"
"Hydraulics", "HYDRAULIC SYSTEM INTEGRITY", "percent over 100", "Percent system functional"
"Partial Panels", "PARTIAL PANEL ADF", "enum", "Gauge fail flag"
"Partial Panels", "PARTIAL PANEL AIRSPEED", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL ALTIMETER", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL ATTITUDE", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL AVIONICS", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL COMM", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL COMPASS", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL ELECTRICAL", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL ENGINE", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL FUEL INDICATOR", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL HEADING", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL NAV", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL PITOT", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL TRANSPONDER", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL TURN COORDINATOR", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL VACUUM", "enum", "Gauge fail flag."
"Partial Panels", "PARTIAL PANEL VERTICAL VELOCITY", "enum", "Gauge fail flag."
"Payload Stations", "DROPPABLE OBJECTS COUNT:1", "number", "The number of droppable objects at the station number identified by the index."
"Payload Stations", "DROPPABLE OBJECTS COUNT:2", "number", "The number of droppable objects at the station number identified by the index."
"Payload Stations", "DROPPABLE OBJECTS COUNT:3", "number", "The number of droppable objects at the station number identified by the index."
"Payload Stations", "DROPPABLE OBJECTS COUNT:4", "number", "The number of droppable objects at the station number identified by the index."
"Payload Stations", "PAYLOAD STATION COUNT", "number", "Number of payload stations (1 to 4)"
"Payload Stations", "PAYLOAD STATION NUM SIMOBJECTS:1", "number", "The number of objects at the payload station"
"Payload Stations", "PAYLOAD STATION NUM SIMOBJECTS:2", "number", "The number of objects at the payload station"
"Payload Stations", "PAYLOAD STATION NUM SIMOBJECTS:3", "number", "The number of objects at the payload station"
"Payload Stations", "PAYLOAD STATION NUM SIMOBJECTS:4", "number", "The number of objects at the payload station"
"Payload Stations", "PAYLOAD STATION WEIGHT:1", "pounds", "Individual payload station weight"
"Payload Stations", "PAYLOAD STATION WEIGHT:2", "pounds", "Individual payload station weight"
"Payload Stations", "PAYLOAD STATION WEIGHT:3", "pounds", "Individual payload station weight"
"Payload Stations", "PAYLOAD STATION WEIGHT:4", "pounds", "Individual payload station weight"
"Warning Variables", "WARNING FUEL", "bool", "This is the current state of the fuel warning, either on (true) or off (false)."
"Warning Variables", "WARNING FUEL LEFT", "bool", "This is the current state of the left fuel tank warning, either on (true) or off (false)."
"Warning Variables", "WARNING FUEL RIGHT", "bool", "This is the current state of the right fuel tank warning, either on (true) or off (false)."
"Warning Variables", "WARNING LOW HEIGHT", "bool", "This is the current state of the low height warning, either on (true) or off (false)."
"Warning Variables", "WARNING OIL PRESSURE", "bool", "This is the current state of the oil pressure warning, either on (true) or off (false)."
"Warning Variables", "WARNING VACUUM", "bool", "This is the current state of the vacuum system warning, either on (true) or off (false)."
"Warning Variables", "WARNING VACUUM LEFT", "bool", "This is the current state of the left vacuum system warning, either on (true) or off (false)."
"Warning Variables", "WARNING VACUUM RIGHT", "bool", "This is the current state of the right vacuum system warning, either on (true) or off (false)."
"Warning Variables", "WARNING VOLTAGE", "bool", "This is the current state of the electrical system voltage warning, either on (true) or off (false)."
"Yoke", "YOKE X INIDICATOR", "position", "Yoke position in horizontal direction"
"Yoke", "YOKE X POSITION", "position", "Percent control deflection left/right (for animation)"
"Yoke", "YOKE X POSITION WITH AP", "position", "Percent control deflection left/right (for animation). Also includes AP's inputs."
"Yoke", "YOKE Y INIDICATOR", "position", "Yoke position in vertical direction"
"Yoke", "YOKE Y POSITION", "position", "Percent control deflection fore/aft (for animation)"
"Yoke", "YOKE Y POSITION WITH AP", "position", "Percent control deflection fore/aft (for animation). Also includes AP's inputs."
"Exits (Deprecated)", "EXIT OPEN", "percent over 100", "Percent door/exit open."
"Exits (Deprecated)", "EXIT POSX", "feet", "Position of exit relative to datum reference point."
"Exits (Deprecated)", "EXIT POSY", "feet", "Position of exit relative to datum reference point."
"Exits (Deprecated)", "EXIT POSZ", "feet", "Position of exit relative to datum reference point."
"Exits (Deprecated)", "EXIT TYPE:1", "enum", "The exit type."
"Exits (Deprecated)", "EXIT TYPE:2", "enum", "The exit type."
"Exits (Deprecated)", "EXIT TYPE:3", "enum", "The exit type."
"Exits (Deprecated)", "EXIT TYPE:4", "enum", "The exit type."
"General / Buses", "BUS BREAKER PULLED", "bool", "This will be true if the bus breaker is pulled. Requires a BUS_LOOKUP_INDEX and a bus index."
"General / Buses", "BUS CONNECTION ON", "bool", "This will be true if the bus is connected. Requires a BUS_LOOKUP_INDEX and a bus index."
"General / Buses", "ELECTRICAL GENALT LOAD", "percent", "This returns the percentage of the load output that is being consumed. This requires an alternator index when referencing."
"General / Buses", "ELECTRICAL GENALT BUS AMPS", "amperes", "The load handled by the alternator. This requires an alternator index when referencing."
"General / Buses", "ELECTRICAL GENALT BUS VOLTAGE", "volts", "General alternator voltage. This requires an alternator index when referencing."
"General / Buses", "ELECTRICAL MAIN BUS VOLTAGE", "volts", "The main bus voltage. Use a bus index when referencing."
"General / Buses", "ELECTRICAL AVIONICS BUS AMPS", "amperes", "Avionics bus current"
"General / Buses", "ELECTRICAL AVIONICS BUS VOLTAGE", "volts", "Avionics bus voltage"
"General / Buses", "ELECTRICAL MAIN BUS AMPS", "amperes", "Main bus current"
"General / Buses", "ELECTRICAL OLD CHARGING AMPS", "amps", "Deprecated, do not use! Use ELECTRICAL BATTERY LOAD."
"General / Buses", "ELECTRICAL TOTAL LOAD AMPS", "amperes", "Total load amps"
"General / Buses", "NEW ELECTRICAL SYSTEM", "bool", "Is the aircraft using the new Electrical System or the legacy FSX one"
"Alternators", "ALTERNATOR BREAKER PULLED", "bool", "This will be true if the alternator breaker is pulled. Requires a BUS_LOOKUP_INDEX and an alternator index."
"Alternators", "ALTERNATOR CONNECTION ON", "bool", "This will be true if the alternator is connected. Requires a BUS_LOOKUP_INDEX and an alternator index."
"Alternators", "GENERAL ENG MASTER ALTERNATOR:1", "bool", "The alternator (generator) switch position, true if the switch is ON. Requires an engine index, and the use of an alternator index when referencing."
"Alternators", "GENERAL ENG MASTER ALTERNATOR:2", "bool", "The alternator (generator) switch position, true if the switch is ON. Requires an engine index, and the use of an alternator index when referencing."
"Alternators", "GENERAL ENG MASTER ALTERNATOR:3", "bool", "The alternator (generator) switch position, true if the switch is ON. Requires an engine index, and the use of an alternator index when referencing."
"Alternators", "GENERAL ENG MASTER ALTERNATOR:4", "bool", "The alternator (generator) switch position, true if the switch is ON. Requires an engine index, and the use of an alternator index when referencing."
"APU", "APU BLEED PRESSURE RECEIVED BY ENGINE", "psi", "Boolean, Whether or not the engine receives Bleed air from the APU."
"APU", "APU GENERATOR ACTIVE:1", "bool", "Set or get whether an APU is active (true) or not (false). Takes an index to be able to have multiple generators on a single APU."
"APU", "APU GENERATOR ACTIVE:2", "bool", "Set or get whether an APU is active (true) or not (false). Takes an index to be able to have multiple generators on a single APU."
"APU", "APU GENERATOR ACTIVE:3", "bool", "Set or get whether an APU is active (true) or not (false). Takes an index to be able to have multiple generators on a single APU."
"APU", "APU GENERATOR SWITCH:1", "bool", "Enables or disables the APU for an engine. Takes an index to be able to have multiple generators on a single APU"
"APU", "APU GENERATOR SWITCH:2", "bool", "Enables or disables the APU for an engine. Takes an index to be able to have multiple generators on a single APU"
"APU", "APU GENERATOR SWITCH:3", "bool", "Enables or disables the APU for an engine. Takes an index to be able to have multiple generators on a single APU"
"APU", "APU ON FIRE DETECTED", "bool", "Will return true if the APU is on fire, or false otherwise."
"APU", "APU PCT RPM", "percent over 100", "Auxiliary power unit RPM, as a percentage"
"APU", "APU PCT STARTER", "percent over 100", "Auxiliary power unit starter, as a percentage"
"APU", "APU SWITCH", "bool", "Boolean, whether or not the APU is switched on."
"APU", "APU VOLTS:1", "volts", "The volts from the APU to the selected engine. Takes an index to be able to have multiple generators on a single APU."
"APU", "APU VOLTS:2", "volts", "The volts from the APU to the selected engine. Takes an index to be able to have multiple generators on a single APU."
"APU", "APU VOLTS:3", "volts", "The volts from the APU to the selected engine. Takes an index to be able to have multiple generators on a single APU."
"APU", "BLEED AIR APU", "bool", "Boolean, returns whether or not the APU attempts to provide Bleed Air."
"Batteries", "BATTERY BREAKER PULLED", "bool", "This will be true if the battery breaker is pulled. Requires a BUS LOOKUP INDEX and a battery index."
"Batteries", "BATTERY CONNECTION ON", "bool", "This will be true if the battery is connected. Requires a BUS_LOOKUP_INDEX and a battery index."
"Batteries", "ELECTRICAL BATTERY BUS AMPS", "amperes", "Battery bus current"
"Batteries", "ELECTRICAL BATTERY BUS VOLTAGE", "volts", "Battery bus voltage"
"Batteries", "ELECTRICAL BATTERY ESTIMATED CAPACITY PCT", "percent", "Battery capacity over max capacity, 100 is full."
"Batteries", "ELECTRICAL BATTERY LOAD", "amperes", "The load handled by the battery (negative values mean the battery is receiving current). Use a battery index when referencing."
"Batteries", "ELECTRICAL BATTERY VOLTAGE", "volts", "The battery voltage. Use a battery index when referencing."
"Batteries", "ELECTRICAL HOT BATTERY BUS AMPS", "amperes", "Current available when battery switch is turned off"
"Batteries", "ELECTRICAL HOT BATTERY BUS VOLTAGE", "volts", "Voltage available when battery switch is turned off"
"Batteries", "ELECTRICAL MASTER BATTERY", "bool", "The battery switch position, true if the switch is ON. Use a battery index when referencing."
"Breakers", "BREAKER ADF", "bool", "All these SimVars can be used to get or set the breaker state for the electrical system (either true or false). If the breaker is popped (set to false), then the associated circuit will not receive electricity."
"Breakers", "BREAKER ALTFLD", "bool", "Bool"
"Breakers", "BREAKER AUTOPILOT", "bool", "Bool"
"Breakers", "BREAKER AVNBUS1", "bool", "Bool"
"Breakers", "BREAKER AVNBUS2", "bool", "Bool"
"Breakers", "BREAKER AVNFAN", "bool", "Bool"
"Breakers", "BREAKER FLAP", "bool", "Bool"
"Breakers", "BREAKER GPS", "bool", "Bool"
"Breakers", "BREAKER INST", "bool", "Bool"
"Breakers", "BREAKER INSTLTS", "bool", "Bool"
"Breakers", "BREAKER LTS PWR Deprecated! Do Not Use!", "bool", "Bool"
"Breakers", "BREAKER NAVCOM1", "bool", "Bool"
"Breakers", "BREAKER NAVCOM2", "bool", "Bool"
"Breakers", "BREAKER NAVCOM3", "bool", "Bool"
"Breakers", "BREAKER TURNCOORD", "bool", "Bool"
"Breakers", "BREAKER WARN", "bool", "Bool"
"Breakers", "BREAKER XPNDR", "bool", "Bool"
"Circuits", "CIRCUIT AUTOPILOT ON", "bool", "Is electrical power available to this circuit"
"Circuits", "CIRCUIT AUTO BRAKES ON", "bool", "Is electrical power available to this circuit"
"Circuits", "CIRCUIT AUTO FEATHER ON", "bool", "Is electrical power available to this circuit"
"Circuits", "CIRCUIT AVIONICS ON", "bool", "Is electrical power available to this circuit"
"Circuits", "CIRCUIT BREAKER PULLED", "bool", "This will be true if the circuit breaker is pulled. Requires a BUS LOOKUP INDEX and a circuit index."
"Circuits", "CIRCUIT CONNECTION ON", "bool", "This will be true if the circuit is connected. Requires a BUS_LOOKUP_INDEX and a circuit index."
"Circuits", "CIRCUIT FLAP MOTOR ON", "bool", "Is electrical power available to the flap motor circuit"
"Circuits", "CIRCUIT GEAR MOTOR ON", "bool", "Is electrical power available to the gear motor circuit"
"Circuits", "CIRCUIT GEAR WARNING ON", "bool", "Is electrical power available to gear warning circuit"
"Circuits", "CIRCUIT GENERAL PANEL ON", "bool", "Is electrical power available to the general panel circuit"
"Circuits", "CIRCUIT HYDRAULIC PUMP ON", "bool", "Is electrical power available to the hydraulic pump circuit"
"Circuits", "CIRCUIT MARKER BEACON ON", "bool", "Is electrical power available to the marker beacon circuit"
"Circuits", "CIRCUIT NAVCOM1 ON", "bool", "Whether or not power is available to the NAVCOM1 circuit."
"Circuits", "CIRCUIT NAVCOM2 ON", "bool", "Whether or not power is available to the NAVCOM2 circuit."
"Circuits", "CIRCUIT NAVCOM3 ON", "bool", "Whether or not power is available to the NAVCOM3 circuit."
"Circuits", "CIRCUIT ON", "bool", "This will be true if the given circuit is functioning. Use a circuit index when referencing."
"Circuits", "CIRCUIT PITOT HEAT ON", "bool", "Is electrical power available to the pitot heat circuit"
"Circuits", "CIRCUIT POWER SETTING", "percent", "This returns the percentage of use that the circuit is getting. This requires a circuit index when referencing."
"Circuits", "CIRCUIT PROP SYNC ON", "bool", "Is electrical power available to the propellor sync circuit"
"Circuits", "CIRCUIT STANDBY VACUUM ON", "bool", "Is electrical power available to the vacuum circuit"
"Circuits", "CIRCUIT SWITCH ON", "bool", "The circuit switch position, true if the switch is ON. Use a circuit index when referencing."
"External Power", "EXTERNAL POWER AVAILABLE", "bool", "This will be true if the given external power source is available. Use an external power index when referencing."
"External Power", "EXTERNAL POWER BREAKER PULLED", "bool", "Boolean, The state of the breaker of an external power source"
"External Power", "EXTERNAL POWER CONNECTION ON", "bool", "Boolean, The state of the connection between a bus and an external power source"
"External Power", "EXTERNAL POWER ON", "bool", "The external power switch position, true if the switch is ON. Use an external power index when referencing."
"MISCELLANEOUS VARIABLES", "ANIMATION DELTA TIME", "seconds", "Difference of time between the current frame and the last frame where this SimObject has been animated"
"MISCELLANEOUS VARIABLES", "ARTIFICIAL GROUND ELEVATION", "feet", "In case scenery is not loaded for AI planes, this variable can be used to set a default surface elevation."
"MISCELLANEOUS VARIABLES", "CRASH FLAG", "enum", "Flag value that indicates the cause of a crash."
"MISCELLANEOUS VARIABLES", "CRASH SEQUENCE", "enum", "The state of the crash event sequence."
"MISCELLANEOUS VARIABLES", "GROUND ALTITUDE", "meters", "Altitude of surface."
"MISCELLANEOUS VARIABLES", "MAGVAR", "degrees", "Magnetic variation."
"MISCELLANEOUS VARIABLES", "MISSION SCORE", "number", ""
"MISCELLANEOUS VARIABLES", "REALISM", "number", "General realism percent."
"MISCELLANEOUS VARIABLES", "REALISM CRASH DETECTION", "bool", "True indicates crash detection is turned on."
"MISCELLANEOUS VARIABLES", "REALISM CRASH WITH OTHERS", "bool", "True indicates crashing with other aircraft is possible."
"MISCELLANEOUS VARIABLES", "SIM DISABLED", "bool", "Is sim disabled."
"MISCELLANEOUS VARIABLES", "SIM ON GROUND", "bool", "On ground flag."
"MISCELLANEOUS VARIABLES", "SIM SHOULD SET ON GROUND", "bool", ""
"MISCELLANEOUS VARIABLES", "TRACK IR ENABLE", "bool", "Returns true if Track IR is enabled or not."
"MISCELLANEOUS VARIABLES", "TOTAL WORLD VELOCITY", "feet per second", "Speed relative to the earths center."
"MISCELLANEOUS VARIABLES", "USER INPUT ENABLED", "bool", "Is input allowed from the user."
"MISCELLANEOUS VARIABLES", "VISUAL MODEL RADIUS", "meters", "Model radius."
"MISCELLANEOUS VARIABLES", "VELOCITY WORLD X", "feet per second", "Speed relative to earth, in East/West direction."
"MISCELLANEOUS VARIABLES", "VELOCITY WORLD Y", "feet per second", "Speed relative to earth, in vertical direction."
"MISCELLANEOUS VARIABLES", "VELOCITY WORLD Z", "feet per second", "Speed relative to earth, in North/South direction."
"Ambient / Weather", "AMBIENT DENSITY", "slugs per cubic feet", "Ambient density"
"Ambient / Weather", "AMBIENT PRECIP STATE", "mask", "The current state of precipitation."
"Ambient / Weather", "AMBIENT PRESSURE", "inhg", "Ambient pressure"
"Ambient / Weather", "AMBIENT TEMPERATURE", "celsius", "Ambient temperature"
"Ambient / Weather", "AMBIENT VISIBILITY", "meters", "Ambient visibility (only measures ambient particle visibility - related to ambient density)."
"Ambient / Weather", "AMBIENT WIND DIRECTION", "degrees", "Wind direction"
"Ambient / Weather", "AMBIENT WIND VELOCITY", "knots", "Wind velocity"
"Ambient / Weather", "AMBIENT WIND X", "meters per second", "Wind component in East/West direction."
"Ambient / Weather", "AMBIENT WIND Y", "meters per second", "Wind component in vertical direction."
"Ambient / Weather", "AMBIENT WIND Z", "meters per second", "Wind component in North/South direction."
"Ambient / Weather", "BAROMETER PRESSURE", "millibars", "Barometric pressure"
"Ambient / Weather", "SEA LEVEL PRESSURE", "millibars", "Barometric pressure at sea level"
"Ambient / Weather", "STRUCT AMBIENT WIND", "feet per second", "X (latitude), Y (vertical) and Z (longitude) components of the wind."
"CFS Variables (Deprecated)", "BOMB AMMO", "number", "The amount of bomb ammunition available."
"CFS Variables (Deprecated)", "CANNON AMMO", "number", "The amount of cannon ammunition available."
"CFS Variables (Deprecated)", "GUN AMMO", "number", "The amount of gun ammunition available."
"CFS Variables (Deprecated)", "ROCKET AMMO", "number", "The amount of rocket ammunition available."
"Brakes", "ANTISKID BRAKES ACTIVE", "bool", "True if antiskid brakes active"
"Brakes", "AUTOBRAKES ACTIVE", "bool", "Whether or not the AutoBrakes are currently active."
"Brakes", "AUTO BRAKE SWITCH CB", "number", "Auto brake switch position"
"Brakes", "BRAKE DEPENDENT HYDRAULIC PRESSURE", "psi", "Brake dependent hydraulic pressure reading"
"Brakes", "BRAKE INDICATOR", "position", "Brake on indication"
"Brakes", "BRAKE LEFT POSITION", "position", "Percent left brake"
"Brakes", "BRAKE LEFT POSITION EX1", "position", "Percent left brake, ignoring the effect of the parking brake."
"Brakes", "BRAKE PARKING INDICATOR", "bool", "Parking brake indicator"
"Brakes", "BRAKE PARKING POSITION", "bool", "Sets the parking brake position to on (true) or off (false)."
"Brakes", "BRAKE RIGHT POSITION", "position", "Percent right brake"
"Brakes", "BRAKE RIGHT POSITION EX1", "position", "Percent right brake, ignoring the effect of the parking brake."
"Brakes", "TOE BRAKES AVAILABLE", "bool", "True if toe brakes are available"
"Contact Points", "CONTACT POINT COMPRESSION:0", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:1", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:2", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:3", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:4", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:5", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:6", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:7", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:8", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:9", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:10", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:11", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:12", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:13", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:14", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:15", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:16", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:17", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:18", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT COMPRESSION:19", "position", "The percentage value representing the amount the contact point is compressed. Index is from 0-19."
"Contact Points", "CONTACT POINT IS ON GROUND:0", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:1", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:2", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:3", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:4", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:5", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:6", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:7", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:8", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:9", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:10", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:11", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:12", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:13", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:14", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:15", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:16", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:17", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:18", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
"Contact Points", "CONTACT POINT IS ON GROUND:19", "bool", "Returns true if the indexed contact point is on the ground, or will return false otherwise. Index is from 0 - 19."
